"UNU_Key","Country","ExtrapolationApproach","ConnectionYear","YearsForTrend"
"0001","LVA","LastReliableConstant",2014,NA
"0001","ROU","LastReliableConstant",2014,NA
"0503","NLD","LastReliableConstant",NA,NA
"0701","GBR","LastReliableConstant",NA,NA
"0701","SWE","LastReliableConstant",NA,NA
"0801","AUT","LastReliableConstant",NA,NA
"0801","FIN","LastReliableConstant",NA,NA
"1002","AUT","LastReliableConstant",NA,NA
"0112","DNK","LastReliableConstant",NA,NA
"0306","IRL","LastReliableConstant",NA,NA
"0111","BEL","LastReliableConstant",NA,NA
"0111","DNK","LastReliableConstant",NA,NA
"0111","ITA","LastReliableConstant",NA,NA
"0112","FIN","LastReliableConstant",NA,NA
"0306","AUT","LastReliableConstant",2012,NA
"0507","LUX","LastReliableConstant",2011,NA
"0204","BEL","LastReliableConstant",2013,NA
"0106","LUX","LastReliableConstant",2012,NA
"0111","DEU","LastReliableConstant",NA,NA
"0502","SVK","LastReliableConstant",2013,NA
"0111","MLT","LastReliableConstant",2013,NA
"0302","MLT","LastReliableConstant",2013,NA
"0306","DNK","LastReliableConstant",2013,NA
"0306","ESP","LastReliableConstant",2013,NA
"0309","POL","LastReliableConstant",2013,NA
"0101","GBR","ConnectionConstant",2013,NA
"0111","ESP","LastReliableConstant",2014,NA
"0111","GRC","LastReliableConstant",2014,NA
"0301","BEL","LastReliableConstant",2014,NA
"0401","PRT","LastReliableConstant",2014,NA
"0104","POL","LastReliableConstant",2014,NA
"0104","SVK","LastReliableConstant",2014,NA
"0104","SVN","LastReliableConstant",2014,NA
"0505","DNK","LastReliableConstant",2014,NA
"0802","POL","LastReliableConstant",2014,NA
"0703","DNK","ConnectionConstant",2015,NA
"0601","","LastReliableConstant",NA,NA
"0001","SVN","LastReliableConstant",2011,NA
"0101","HRV","LastReliableConstant",2013,NA
"0102","CYP","LastReliableConstant",NA,NA
"0102","DEU","LastReliableConstant",NA,NA
"0102","DNK","LastReliableConstant",2014,NA
"0102","FIN","LastReliableConstant",NA,NA
"0102","FRA","LastReliableConstant",NA,NA
"0102","HRV","LastReliableConstant",NA,NA
"0102","HUN","LastReliableConstant",NA,NA
"0102","IRL","LastReliableConstant",NA,NA
"0102","ITA","LastReliableConstant",NA,NA
"0102","NLD","LastReliableConstant",NA,NA
"0102","SWE","LastReliableConstant",2014,NA
"0103","CYP","LastReliableConstant",2014,NA
"0103","DEU","LastReliableConstant",NA,NA
"0103","DNK","LastReliableConstant",2014,NA
"0103","ESP","LastReliableConstant",2007,NA
"0103","GBR","LastReliableConstant",NA,NA
"0103","HRV","LastReliableConstant",NA,NA
"0103","HUN","LastReliableConstant",NA,NA
"0103","IRL","LastReliableConstant",NA,NA
"0103","NLD","LastReliableConstant",2014,NA
"0103","POL","LastReliableConstant",NA,NA
"0103","PRT","LastReliableConstant",NA,NA
"0103","ROU","LastReliableConstant",NA,NA
"0103","SVK","LastReliableConstant",NA,NA
"0103","SWE","LastReliableConstant",NA,NA
"0104","BEL","LastReliableConstant",2007,NA
"0104","CYP","ConnectionConstant",NA,NA
"0104","DEU","LastReliableConstant",NA,NA
"0104","IRL","LastReliableConstant",NA,NA
"0104","ITA","ConnectionConstant",NA,NA
"0104","MLT","LastReliableConstant",NA,NA
"0104","NLD","ConnectionConstant",2013,NA
"0104","SWE","LastReliableConstant",NA,NA
"0105","BEL","ConnectionConstant",NA,NA
"0105","BGR","ConnectionConstant",NA,NA
"0105","DNK","ConnectionConstant",NA,NA
"0105","FRA","LastReliableConstant",NA,NA
"0105","GBR","LastReliableConstant",2012,NA
"0105","HRV","ConnectionConstant",NA,NA
"0105","IRL","LastReliableConstant",NA,NA
"0105","LTU","ConnectionConstant",NA,NA
"0105","MLT","ConnectionConstant",NA,NA
"0105","NLD","LastReliableConstant",2014,NA
"0105","SWE","LastReliableConstant",2014,NA
"0106","CYP","LastReliableConstant",NA,NA
"0106","IRL","LastReliableConstant",NA,NA
"0106","SWE","LastReliableConstant",NA,NA
"0108","CYP","LastReliableConstant",2012,NA
"0108","POL","LastReliableConstant",2012,NA
"0108","SWE","LastReliableConstant",2013,NA
"0109","CZE","LastReliableConstant",NA,NA
"0109","IRL","LastReliableConstant",NA,NA
"0109","MLT","ConnectionConstant",NA,NA
"0109","NLD","LastReliableConstant",NA,NA
"0109","SWE","LastReliableConstant",2014,NA
"0113","CYP","LastReliableConstant",NA,NA
"0113","ESP","LastReliableConstant",2014,NA
"0113","IRL","LastReliableConstant",NA,NA
"0113","SVN","LastReliableConstant",NA,NA
"0113","SWE","LastReliableConstant",2013,NA
"0114","CYP","LastReliableConstant",NA,NA
"0114","DNK","LastReliableConstant",NA,NA
"0114","GBR","LastReliableConstant",NA,NA
"0114","IRL","LastReliableConstant",NA,NA
"0114","MLT","LastReliableConstant",NA,NA
"0114","NLD","ConnectionConstant",NA,NA
"0114","ROU","LastReliableConstant",NA,NA
"0114","SVK","LastReliableConstant",NA,NA
"0202","CYP","LastReliableConstant",2014,NA
"0202","CZE","LastReliableConstant",NA,NA
"0202","ESP","LastReliableConstant",NA,NA
"0202","GBR","LastReliableConstant",NA,NA
"0202","HUN","LastReliableConstant",NA,NA
"0202","IRL","LastReliableConstant",NA,NA
"0202","NLD","LastReliableConstant",NA,NA
"0202","SWE","LastReliableConstant",NA,NA
"0203","DEU","ConnectionConstant",NA,NA
"0203","DNK","ConnectionConstant",NA,NA
"0203","NLD","LastReliableConstant",NA,NA
"0203","PRT","LastReliableConstant",NA,NA
"0203","ROU","LastReliableConstant",NA,NA
"0204","GBR","ConnectionConstant",2013,NA
"0204","IRL","LastReliableConstant",NA,NA
"0204","NLD","LastReliableConstant",NA,NA
"0204","SWE","ConnectionConstant",NA,NA
"0205","DNK","LastReliableConstant",2011,NA
"0205","GBR","ConnectionConstant",NA,NA
"0205","IRL","LastReliableConstant",2013,NA
"0205","POL","ConnectionConstant",NA,NA
"0205","SWE","ConnectionConstant",NA,NA
"0301","IRL","LastReliableConstant",NA,NA
"0301","POL","LastReliableConstant",2014,NA
"0302","","LastReliableConstant",NA,NA
"0302","GBR","ConnectionConstant",NA,NA
"0302","IRL","LastReliableConstant",2014,NA
"0303","DNK","LastReliableConstant",NA,NA
"0303","ESP","LastReliableConstant",2014,NA
"0303","NLD","LastReliableConstant",NA,NA
"0303","SVK","LastReliableConstant",NA,NA
"0303","SWE","LastReliableConstant",NA,NA
"0304","BEL","LastReliableConstant",NA,NA
"0304","ESP","ConnectionConstant",NA,NA
"0304","FRA","LastReliableConstant",NA,NA
"0304","IRL","LastReliableConstant",NA,NA
"0304","LUX","LastReliableConstant",2013,NA
"0304","NLD","LastReliableConstant",NA,NA
"0305","DNK","LastReliableConstant",NA,NA
"0305","ESP","LastReliableConstant",NA,NA
"0305","IRL","LastReliableConstant",2013,NA
"0305","NLD","LastReliableConstant",NA,NA
"0305","SWE","LastReliableConstant",2012,NA
"0306","CZE","LastReliableConstant",NA,NA
"0309","","LastReliableConstant",NA,NA
"0309","DNK","LastReliableConstant",NA,NA
"0309","EST","ConnectionConstant",NA,NA
"0309","PRT","ConnectionConstant",NA,NA
"0401","DNK","LastReliableConstant",NA,NA
"0401","IRL","LastReliableConstant",NA,NA
"0401","MLT","LastReliableConstant",NA,NA
"0401","NLD","LastReliableConstant",NA,NA
"0401","SVK","LastReliableConstant",NA,NA
"0402","","KPI",NA,NA
"0403","DEU","LastReliableConstant",NA,NA
"0403","DNK","LastReliableConstant",NA,NA
"0404","IRL","LastReliableConstant",NA,NA
"0404","ROU","LastReliableConstant",2014,NA
"0405","DEU","LastReliableConstant",NA,NA
"0405","IRL","LastReliableConstant",2013,NA
"0405","NLD","LastReliableConstant",NA,NA
"0405","POL","LastReliableConstant",NA,NA
"0405","SWE","LastReliableConstant",NA,NA
"0408","","LastReliableConstant",NA,NA
"0408","AUT","LastReliableConstant",2014,NA
"0408","DEU","LastReliableConstant",NA,NA
"0408","ESP","ConnectionConstant",2014,NA
"0408","FIN","ConnectionConstant",2014,NA
"0408","POL","LastReliableConstant",2015,NA
"0408","ROU","LastReliableConstant",2012,NA
"0501","CYP","LastReliableConstant",NA,NA
"0501","IRL","LastReliableConstant",NA,NA
"0501","LUX","LastReliableConstant",NA,NA
"0501","MLT","LastReliableConstant",2013,NA
"0501","SVK","LastReliableConstant",NA,NA
"0502","","KPI",NA,4
"0502","GRC","LastReliableConstant",NA,NA
"0503","","KPI",NA,4
"0503","SWE","LastReliableConstant",NA,NA
"0505","","LastReliableConstant",NA,NA
"0505","CYP","LastReliableConstant",2014,NA
"0505","NLD","LastReliableConstant",2014,NA
"0506","DNK","LastReliableConstant",2013,NA
"0506","FIN","LastReliableConstant",NA,NA
"0506","GBR","LastReliableConstant",2013,NA
"0506","IRL","LastReliableConstant",NA,NA
"0506","LUX","LastReliableConstant",NA,NA
"0506","LVA","LastReliableConstant",NA,NA
"0506","NLD","LastReliableConstant",2013,NA
"0506","SWE","LastReliableConstant",2013,NA
"0507","CYP","LastReliableConstant",NA,NA
"0507","ESP","LastReliableConstant",NA,NA
"0507","IRL","LastReliableConstant",NA,NA
"0602","DEU","LastReliableConstant",NA,NA
"0602","GBR","LastReliableConstant",2013,NA
"0602","IRL","LastReliableConstant",NA,NA
"0602","LUX","LastReliableConstant",NA,NA
"0602","NLD","LastReliableConstant",NA,NA
"0602","POL","LastReliableConstant",NA,NA
"0602","SVK","LastReliableConstant",NA,NA
"0601","MLT","LastReliableConstant",2014,NA
"0701","IRL","LastReliableConstant",2013,NA
"0702","DEU","LastReliableConstant",NA,NA
"0702","DNK","LastReliableConstant",NA,NA
"0702","GBR","LastReliableConstant",NA,NA
"0702","ITA","LastReliableConstant",NA,NA
"0702","LUX","LastReliableConstant",2014,NA
"0702","NLD","LastReliableConstant",2014,NA
"0702","SVK","LastReliableConstant",NA,NA
"0703","NLD","LastReliableConstant",NA,NA
"0703","SWE","LastReliableConstant",2014,NA
"0801","DEU","LastReliableConstant",NA,NA
"0801","DNK","LastReliableConstant",NA,NA
"0801","ESP","LastReliableConstant",2013,NA
"0801","FRA","LastReliableConstant",NA,NA
"0801","GBR","LastReliableConstant",NA,NA
"0801","HRV","LastReliableConstant",NA,NA
"0801","IRL","LastReliableConstant",NA,NA
"0801","NLD","LastReliableConstant",NA,NA
"0801","SWE","LastReliableConstant",2014,NA
"0802","IRL","LastReliableConstant",NA,NA
"0901","SVK","LastReliableConstant",NA,NA
"0901","SWE","LastReliableConstant",NA,NA
"0902","IRL","LastReliableConstant",NA,NA
"0902","MLT","LastReliableConstant",2014,NA
"0902","NLD","LastReliableConstant",NA,NA
"0902","POL","LastReliableConstant",NA,NA
"0902","ROU","LastReliableConstant",2014,NA
"1002","ITA","LastReliableConstant",2013,NA
"1002","NLD","LastReliableConstant",2013,NA
"0111","PRT","LastReliableConstant",NA,NA
"0114","ESP","LastReliableConstant",NA,NA
"0114","FIN","LastReliableConstant",NA,NA
"0114","FRA","LastReliableConstant",NA,NA
"0114","PRT","LastReliableConstant",NA,NA
"0114","SWE","LastReliableConstant",NA,NA
"0201","CYP","LastReliableConstant",NA,NA
"0203","AUT","LastReliableConstant",NA,NA
"0203","BEL","LastReliableConstant",NA,NA
"0203","POL","LastReliableConstant",NA,NA
"0301","DEU","LastReliableConstant",NA,NA
"0301","DNK","LastReliableConstant",NA,NA
"0301","FRA","LastReliableConstant",NA,NA
"0301","GBR","LastReliableConstant",NA,NA
"0301","LUX","LastReliableConstant",NA,NA
"0301","SWE","LastReliableConstant",NA,NA
"0303","EST","LastReliableConstant",NA,NA
"0303","FIN","LastReliableConstant",NA,NA
"0303","FRA","LastReliableConstant",NA,NA
"0303","GBR","LastReliableConstant",NA,NA
"0304","GBR","LastReliableConstant",NA,NA
"0305","GBR","LastReliableConstant",NA,NA
"0305","LUX","LastReliableConstant",NA,NA
"0306","SWE","LastReliableConstant",NA,NA
"0401","SWE","LastReliableConstant",NA,NA
"0404","BEL","LastReliableConstant",NA,NA
"0404","DEU","LastReliableConstant",NA,NA
"0404","LUX","LastReliableConstant",NA,NA
"0404","NLD","LastReliableConstant",NA,NA
"0404","SWE","LastReliableConstant",NA,NA
"0501","AUT","LastReliableConstant",NA,NA
"0501","BEL","LastReliableConstant",NA,NA
"0102","AUT","LastReliableConstant",NA,NA
"0102","BEL","LastReliableConstant",NA,NA
"0102","EST","LastReliableConstant",NA,NA
"0104","FRA","LastReliableConstant",NA,NA
"0105","AUT","LastReliableConstant",NA,NA
"0106","ESP","LastReliableConstant",NA,NA
"0106","FIN","LastReliableConstant",NA,NA
"0106","FRA","LastReliableConstant",NA,NA
"0106","GBR","LastReliableConstant",NA,NA
"0106","PRT","LastReliableConstant",NA,NA
"0501","NLD","LastReliableConstant",NA,NA
"0501","SWE","LastReliableConstant",NA,NA
"0502","SWE","KPI",NA,8
"0503","ESP","LastReliableConstant",NA,NA
"0503","EST","LastReliableConstant",NA,NA
"0503","IRL","LastReliableConstant",NA,NA
"0303","HUN","LastReliableConstant",NA,NA
